timestamp,phase,iteration,global_step,episode_len,buffer_size,loss,policy_loss,value_loss,entropy,kl,lr,lr_multiplier,arena_winrate,baseline_winrate,updated_best,eval_games,board_w,board_h,n_in_row,n_playout,c_puct,temp,device
1774331019.3342216,selfplay,1,0,9,72,,,,,,0.002,1.0,,,,,6,6,4,200,5,1.0,cuda
1774331022.4547725,selfplay,2,0,16,200,,,,,,0.002,1.0,,,,,6,6,4,200,5,1.0,cuda
1774331024.6949875,selfplay,3,0,13,304,,,,,,0.002,1.0,,,,,6,6,4,200,5,1.0,cuda
1774331026.7783859,selfplay,4,0,13,408,,,,,,0.002,1.0,,,,,6,6,4,200,5,1.0,cuda
1774331029.7262309,selfplay,5,0,17,544,,,,,,0.002,1.0,,,,,6,6,4,200,5,1.0,cuda
1774331029.879598,update,5,5,17,544,4.524645805358887,3.5811824798583984,0.9434632062911987,3.5811281204223633,0.0026618587,0.002,1.5,,,,,6,6,4,200,5,1.0,cuda
1774331033.0609539,selfplay,6,5,16,672,,,,,,0.002,1.5,,,,,6,6,4,200,5,1.0,cuda
1774331033.096801,update,6,10,16,672,4.480410575866699,3.5793263912200928,0.9010840654373169,3.5769448280334473,0.0022476166,0.003,2.25,,,,,6,6,4,200,5,1.0,cuda
1774331036.0518486,selfplay,7,10,16,800,,,,,,0.003,2.25,,,,,6,6,4,200,5,1.0,cuda
1774331036.084811,update,7,15,16,800,4.338630676269531,3.574286699295044,0.764343798160553,3.573024272918701,0.0036383884,0.0045000000000000005,3.375,,,,,6,6,4,200,5,1.0,cuda
1774331038.2085595,selfplay,8,15,12,896,,,,,,0.0045000000000000005,3.375,,,,,6,6,4,200,5,1.0,cuda
1774331038.246016,update,8,20,12,896,4.393918991088867,3.568162441253662,0.8257567286491394,3.575460433959961,0.0055077607,0.00675,5.0625,,,,,6,6,4,200,5,1.0,cuda
1774331041.367555,selfplay,9,20,15,1016,,,,,,0.00675,5.0625,,,,,6,6,4,200,5,1.0,cuda
