timestamp,phase,iteration,global_step,episode_len,buffer_size,loss,policy_loss,value_loss,entropy,kl,lr,lr_multiplier,arena_winrate,baseline_winrate,updated_best,eval_games,board_w,board_h,n_in_row,n_playout,c_puct,temp,device
1775633802.6560514,selfplay,1,0,37,3192,,,,,,0.002,1.0,,,,,8,8,5,400,5,1.0,cpu
1775633805.615204,update,1,5,37,3192,4.876776695251465,4.123599052429199,0.7531774640083313,4.113234996795654,0.0007959006,0.002,1.5,,,,,8,8,5,400,5,1.0,cpu
1775633820.0375035,selfplay,2,5,43,7328,,,,,,0.002,1.5,,,,,8,8,5,400,5,1.0,cpu
1775633820.2047162,update,2,10,43,7328,4.757482051849365,4.097760200500488,0.6597216725349426,4.110845565795898,0.001914195,0.003,2.25,,,,,8,8,5,400,5,1.0,cpu
1775633833.6666002,selfplay,3,10,38,10000,,,,,,0.003,2.25,,,,,8,8,5,400,5,1.0,cpu
1775633833.8218553,update,3,15,38,10000,4.588552474975586,4.0678534507751465,0.520699143409729,4.09678316116333,0.0037199256,0.0045000000000000005,3.375,,,,,8,8,5,400,5,1.0,cpu
1775633848.9377553,selfplay,4,15,45,10000,,,,,,0.0045000000000000005,3.375,,,,,8,8,5,400,5,1.0,cpu
1775633849.0961876,update,4,20,45,10000,4.362704753875732,4.0410051345825195,0.32169950008392334,4.054762363433838,0.014002904,0.00675,3.375,,,,,8,8,5,400,5,1.0,cpu
1775633863.9795043,selfplay,5,20,44,10000,,,,,,0.00675,3.375,,,,,8,8,5,400,5,1.0,cpu
1775633864.1950955,update,5,25,44,10000,4.515377044677734,4.039243698120117,0.47613346576690674,4.041049003601074,0.02730567,0.00675,3.375,,,,,8,8,5,400,5,1.0,cpu
1775633880.9874218,selfplay,6,25,51,10000,,,,,,0.00675,3.375,,,,,8,8,5,400,5,1.0,cpu
1775633881.2009184,update,6,30,51,10000,4.329769134521484,3.9536328315734863,0.3761363923549652,3.967958450317383,0.11174142,0.00675,2.25,,,,,8,8,5,400,5,1.0,cpu
1775633895.2136865,selfplay,7,30,40,10000,,,,,,0.00675,2.25,,,,,8,8,5,400,5,1.0,cpu
1775633895.3771725,update,7,34,40,10000,4.508455276489258,3.9322686195373535,0.5761866569519043,3.969693183898926,0.088074744,0.0045000000000000005,1.5,,,,,8,8,5,400,5,1.0,cpu
1775633910.259963,selfplay,8,34,43,10000,,,,,,0.0045000000000000005,1.5,,,,,8,8,5,400,5,1.0,cpu
1775633910.473669,update,8,39,43,10000,4.552380084991455,3.8898205757141113,0.6625593900680542,3.9024128913879395,0.06780867,0.003,1.0,,,,,8,8,5,400,5,1.0,cpu
1775633923.777477,selfplay,9,39,37,10000,,,,,,0.003,1.0,,,,,8,8,5,400,5,1.0,cpu
1775633923.9841821,update,9,44,37,10000,4.750885963439941,3.8393473625183105,0.9115387201309204,3.8687610626220703,0.052200854,0.002,0.6666666666666666,,,,,8,8,5,400,5,1.0,cpu
1775633936.6664267,selfplay,10,44,35,10000,,,,,,0.002,0.6666666666666666,,,,,8,8,5,400,5,1.0,cpu
1775633936.8630326,update,10,49,35,10000,4.763854503631592,3.8202428817749023,0.9436114430427551,3.8512988090515137,0.025971692,0.0013333333333333333,0.6666666666666666,,,,,8,8,5,400,5,1.0,cpu
1775633950.3385882,selfplay,11,49,39,10000,,,,,,0.0013333333333333333,0.6666666666666666,,,,,8,8,5,400,5,1.0,cpu
1775633950.548555,update,11,54,39,10000,4.713939666748047,3.782118558883667,0.9318211078643799,3.8134331703186035,0.023842426,0.0013333333333333333,0.6666666666666666,,,,,8,8,5,400,5,1.0,cpu
1775633963.866988,selfplay,12,54,38,10000,,,,,,0.0013333333333333333,0.6666666666666666,,,,,8,8,5,400,5,1.0,cpu
1775633964.0843737,update,12,59,38,10000,4.609346389770508,3.6782264709472656,0.9311197996139526,3.748274326324463,0.031974018,0.0013333333333333333,0.6666666666666666,,,,,8,8,5,400,5,1.0,cpu
1775633976.47309,selfplay,13,59,34,10000,,,,,,0.0013333333333333333,0.6666666666666666,,,,,8,8,5,400,5,1.0,cpu
1775633976.6939418,update,13,64,34,10000,4.492308139801025,3.5905442237854004,0.9017639756202698,3.662602186203003,0.030142592,0.0013333333333333333,0.6666666666666666,,,,,8,8,5,400,5,1.0,cpu
1775633989.2357712,selfplay,14,64,35,10000,,,,,,0.0013333333333333333,0.6666666666666666,,,,,8,8,5,400,5,1.0,cpu
1775633989.4403846,update,14,69,35,10000,4.503568172454834,3.5503427982330322,0.9532252550125122,3.560370922088623,0.03295866,0.0013333333333333333,0.6666666666666666,,,,,8,8,5,400,5,1.0,cpu
1775634002.307,selfplay,15,69,36,10000,,,,,,0.0013333333333333333,0.6666666666666666,,,,,8,8,5,400,5,1.0,cpu
1775634002.5230505,update,15,74,36,10000,4.285058498382568,3.439882278442383,0.8451762795448303,3.5260958671569824,0.022435166,0.0013333333333333333,0.6666666666666666,,,,,8,8,5,400,5,1.0,cpu
1775634022.8240054,selfplay,16,74,64,10000,,,,,,0.0013333333333333333,0.6666666666666666,,,,,8,8,5,400,5,1.0,cpu
1775634022.9845986,update,16,79,64,10000,4.115079879760742,3.2814016342163086,0.833678126335144,3.4503707885742188,0.031843625,0.0013333333333333333,0.6666666666666666,,,,,8,8,5,400,5,1.0,cpu
1775634036.8320582,selfplay,17,79,39,10000,,,,,,0.0013333333333333333,0.6666666666666666,,,,,8,8,5,400,5,1.0,cpu
1775634036.9707205,update,17,84,39,10000,3.8885657787323,3.1847221851348877,0.7038436532020569,3.3415329456329346,0.03996934,0.0013333333333333333,0.6666666666666666,,,,,8,8,5,400,5,1.0,cpu
1775634050.7574637,selfplay,18,84,39,10000,,,,,,0.0013333333333333333,0.6666666666666666,,,,,8,8,5,400,5,1.0,cpu
1775634050.9245994,update,18,89,39,10000,3.7943167686462402,2.999763250350952,0.7945535182952881,3.1890664100646973,0.041285094,0.0013333333333333333,0.4444444444444444,,,,,8,8,5,400,5,1.0,cpu
1775634066.3852744,selfplay,19,89,45,10000,,,,,,0.0013333333333333333,0.4444444444444444,,,,,8,8,5,400,5,1.0,cpu
1775634066.6064773,update,19,94,45,10000,3.7065396308898926,2.8901281356811523,0.8164113759994507,3.079728841781616,0.03513139,0.0008888888888888888,0.4444444444444444,,,,,8,8,5,400,5,1.0,cpu
1775634078.4310906,selfplay,20,94,31,10000,,,,,,0.0008888888888888888,0.4444444444444444,,,,,8,8,5,400,5,1.0,cpu
1775634078.6297708,update,20,99,31,10000,3.67238712310791,2.8322741985321045,0.8401128053665161,3.020036220550537,0.028519781,0.0008888888888888888,0.4444444444444444,,,,,8,8,5,400,5,1.0,cpu
1775634091.5274785,selfplay,21,99,35,10000,,,,,,0.0008888888888888888,0.4444444444444444,,,,,8,8,5,400,5,1.0,cpu
1775634091.7280016,update,21,104,35,10000,3.565574884414673,2.7233402729034424,0.8422345519065857,2.9417669773101807,0.028933521,0.0008888888888888888,0.4444444444444444,,,,,8,8,5,400,5,1.0,cpu
1775634104.7536206,selfplay,22,104,36,10000,,,,,,0.0008888888888888888,0.4444444444444444,,,,,8,8,5,400,5,1.0,cpu
1775634104.9500673,update,22,109,36,10000,3.4385838508605957,2.6413841247558594,0.7971998453140259,2.8241207599639893,0.019340772,0.0008888888888888888,0.4444444444444444,,,,,8,8,5,400,5,1.0,cpu
1775634118.0396328,selfplay,23,109,35,10000,,,,,,0.0008888888888888888,0.4444444444444444,,,,,8,8,5,400,5,1.0,cpu
